ID,Title,Rating,Comment,asin_number
1, Worthable price,5,Comfortable to take anywhere. Light weight. Used for personal work,B08N5N1WBH
2, great,5,lightweight and powerful. great machine,B08N5N1WBH
3, Perfect,5,I am writing this review on my M1 MacBook Air after over two years of owning it. It's incredible! I',B08N5N1WBH
4, M Power,5,These little MacBooks are ideal for students and small office. Mature to buy Apple Care as they are ,B08N5N1WBH
5," Love my laptop, slight issue with screen sometimes...",5,"Love this laptop so much, that I am currently typing from. However, sometimes the screen does a weir",B08N5N1WBH
6, It’s very lightweight,5,.,B08N5N1WBH
7, MacBook Air M1,5,"Absolute beauty, thanks Amazon!",B08N5N1WBH
8, MacBook,4,This is a really good opportunity to buy this MacBook. And I like it! Also its come brand new.,B08N5N1WBH
9, Faulty,2,"I brought it in 2021 and the screen went in the first year, it was fixed free, because i had only ha",B08N5N1WBH
10, Outstanding Machine,5,"I bought the M1 Macbook Air base model in 2021, I was looking for a fanless efficient portable compu",B08N5N1WBH
11, Very little to criticise. Almost five star. Magic stabiliser.,4,"-I didn't buy my G9 through Amazon-I'm a fan of Panasonic cameras. I've had a few other makes, but c",B0779B2K8B
12, Such an epic camera,5,The G9 has been a revelation. I bought it as a cheaper way into birding photography. Used with the P,B0779B2K8B
13, Excellent camera,5,Bought this as a second camera to go alongside my GH5 but I find this is so good for stills it's bec,B0779B2K8B
14, I love it so much,5,It’s probably not healthy to love a device as much as I love this camera right now! I have owned a h,B0779B2K8B
15," feature packed camera, beautifully engineered, huge variety of compatible lenses",5,"This is my 4th Micro4/3rds camera (GF5 (backup body), G5 (now my daughter's), G6 (now surplus)) in q",B0779B2K8B
16, .,5,"Great product, having used Panasonic previously I found the upgrade easier than I thought.Overall go",B0779B2K8B
17, My 2nd G9,5,I have been using lumix cameras for a long time and love them. I had one G9 but more than one lens s,B0779B2K8B
18, Great Camera,5,Bought this as the other models on the market now are more aimed at V-Blogging and I wanted somethin,B0779B2K8B
19, Nice camera to start doing more videos without investing too much,5,Got this after checking different options. Love the easy buttons to use and the menu is very friendl,B0779B2K8B
20, Best camera I have used,5,Forget its ability to let you set several instant personal program modes. Forget the easily to use l,B0779B2K8B
21, Excellent upgrade,5,Streaming is easy and can use the remote with ease.,B091G31KSJ
22, good,5,cheap price and works,B091G31KSJ
23, brilliant and easy to use,5,easy to set up was pleased with the quick delivery and how very well packaged it was,B091G31KSJ
24, Amazing & Great price,5,Amazing & Great price & speedy delivery I would highly recommend,B091G31KSJ
25, It has given my old freeview TV a new lease of life,5,Saved me from splashing out for a new smart TV. Easy to set up and the android system allows for a h,B091G31KSJ
26, Works perfictly,5,Easy to set up,B091G31KSJ
27, Easy to set up,5,"Easy to use, very quick delivery.",B091G31KSJ
28, Best decision to buy this,5,Make my old TV 📺 into smart tv good product recommend that 👌,B091G31KSJ
29, Good product,5,"Exactly as described... easy to install, easy to setup.",B091G31KSJ
30, Super,5,Great. Easy installation,B091G31KSJ
31, Finish dishwasher tablets,5,Brilliant product giving a good shine. Bought on the delivery option recurring at a good discount. H,B09QXMZHV8
