RecordID,Title,Rating,Comment
1, M Power,5,These little MacBooks are ideal for students and small office. Mature to buy Apple Care as they are 
2," Love my laptop, slight issue with screen sometimes...",5,"Love this laptop so much, that I am currently typing from. However, sometimes the screen does a weir"
3, It’s very lightweight,5,.
4, MacBook Air M1,5,"Absolute beauty, thanks Amazon!"
5, MacBook,4,This is a really good opportunity to buy this MacBook. And I like it! Also its come brand new.
6, Faulty,2,"I brought it in 2021 and the screen went in the first year, it was fixed free, because i had only ha"
7, Outstanding Machine,5,"I bought the M1 Macbook Air base model in 2021, I was looking for a fanless efficient portable compu"
8, M1 air which looked no different to my airbook air I purchased in 2012 :-),1,M1 is ok if you don't ever intend to play games and just want to use a laptop for office based tasks
9, Quality on point,5,Best buy ever
10, Beautiful,5,Never seen something more beautiful and amazing then this thing in my whole entire life. The only th
11, Very little to criticise. Almost five star. Magic stabiliser.,4,"-I didn't buy my G9 through Amazon-I'm a fan of Panasonic cameras. I've had a few other makes, but c"
12, Such an epic camera,5,The G9 has been a revelation. I bought it as a cheaper way into birding photography. Used with the P
13, Excellent camera,5,Bought this as a second camera to go alongside my GH5 but I find this is so good for stills it's bec
14, I love it so much,5,It’s probably not healthy to love a device as much as I love this camera right now! I have owned a h
15," feature packed camera, beautifully engineered, huge variety of compatible lenses",5,"This is my 4th Micro4/3rds camera (GF5 (backup body), G5 (now my daughter's), G6 (now surplus)) in q"
16, .,5,"Great product, having used Panasonic previously I found the upgrade easier than I thought.Overall go"
17, My 2nd G9,5,I have been using lumix cameras for a long time and love them. I had one G9 but more than one lens s
18, Great Camera,5,Bought this as the other models on the market now are more aimed at V-Blogging and I wanted somethin
19, Nice camera to start doing more videos without investing too much,5,Got this after checking different options. Love the easy buttons to use and the menu is very friendl
20, Best camera I have used,5,Forget its ability to let you set several instant personal program modes. Forget the easily to use l
21, Amazon Fire Stick,5,"After using a much older version of the Fire Stick for years, this newer version has improved our st"
22, Not for me,3,Subtitles don't usually snyc properly so that I can't use them. Alexa notifications have to be switc
23, Brilliant,5,It’s easy & straightforward to set up . I love it
24, Easy to use,5,Old TV that needs the extra channels easy to use and install
25, Trusted product,5,"Great product, it's my second purchase of the same item and it's perfect."
26, Not much difference from previous versions,5,Does th job for streaming
27, Cheap rubbish,1,Remote didn’t work out of the box. Absolute waste of time and money.
28, Great item,5,"Great product, quality and was very easy to set up and use"
29, Fire stick,5,This is a vast improvement on my old one half the time Disney plus wouldn’t work on it it’s easily v
30, Fire thing,5,Yep
31, Left my dishes with white powderly traces,2,We are trying different dishing washing capsules to see which one works the best with our new dishwa
32, A little Expensive,3,"A little Expensive , not worth the expense when purchased at full price."
33, An improvement on the original tablets,5,In my opinion these are a improvement on the tablets which we have used for years. Gets the crockery
34, Clean Dishes.,4,I seem to get better results at higher temperature wash.
35, Value for money,5,"Bought them on prime deals. Does the job very well, happy with my purchase"
36, Best,5,The best
37, Great value,5,"Great value for money,Cleans my dishes perfectly."
38, Excellent,5,Good product
39, Clean machine,5,These dishwasher tabs are amazing they don't just clean your dishes the inside of the dishwasher loo
40, Perfect,5,Excellent
41, Rubbish,1,"Rubbish, threads too easy and poor performance overall"
42, it works!,5,soft and absorbent.
43, Fantastic price,5,Well worth the money
44, Cheap is as cheap does.,2,This paper is the worst I've ever used as it's too thin. You can buy better quality from high street
45, Perfect,5,Great value for money
46, Toilet tissue,5,A bargain I have purchased more than once.
47, Nice softness,5,My daughter will now only buy this toilet paper.
48, Quality,5,"The service was brilliant when buying the product, the quality is good"
49, You get what you pay for,3,These are a lot thinner & smaller rolls than another leading brands 3 ply quilted rolls
50, Good quality,5,Very good quality. Will be ordering again soon
51, Good,4,"Products came on time, albeit in a squashed box, but guess that’s minor. New and just as described."
52, Good value and price -- thanks.,5,Good value and price -- thanks.
53, Just works for us!,5,"Been taking vit D for the lads few years, only take it during end of September to April, covers the "
54, Good product,5,Arrive day after ordering and a good price
55, Vitamins for B12,5,These are great to take through the winter months
56, Delivery time👌,5,Perfect Masks 👍
57, Essential for a more mature woman,5,For anyone going through the menopause I would certainly recommend a daily dose.
58, Good!,5,Good value for money and easy to swallow.
59, Exellent as always,5,"Been recommended by doctor to use it every day so here we are, buying these constantly"
60, Nicely packaged,5,Ease of swallowing and good value for money ( I think!?) if it does do the expected job over a perio
61, Great product but delivery was left on doorstep not as instructed,5,great product in volume 14 pence per wash
62, Favourite,5,My favourite family detergent at a great price.
63, All in one,5,clothes smell lovely clean and soft and gets rid of most stains all in one pod
64, Ok product,3,Expecting more from this brand
65, oh yes Clean and good value,5,I have this product on subscribe and save. It is absolutely brilliant. I can get 10 pods for five po
66," Tried everything, but always come back to Ariel",5,"I have used a lot of pods, powders from Amazon, virtually every make, they are nice, but nothing I h"
67, easy to use and economical,5,give fresh perfume to clothes
68, Confused. Pod,1,I was expecting 64 pods per pack an not 54. Disappointed.
69, Value for money,5,"I think is a good way to save, as i have been using for long time and more useful"
70, Good value for money,5,I normally buy these from Iceland before finding these and realising they save me more money over th
71, Quick delivery,5,"Product as expected, arrived before expected"
72, As described,4,Works
73, AMAZING,5,Plugs right in! Very impressed took no longer then 2 minutes!
74, Good,4,Do the job.
75, Gd quality,4,I bought this product when it was on discount and am very happy 😊. Thank u
76, Never understands toodle why have one,4,"Why bother when most modern TV have these features built in. waste of cash to me, used once"
77, Replacement,5,"Excellent, very pleased with purchase. Quality/sound no problems. Well worth the purchase. Thank you"
